http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=761;Outils;Nouveau;;;MTA;MTA-1;Aimant en couleur;IRL;Aimant frigo en laiton. Impression en couleurs avec finition brillante. Personnalisable avec marquage inclus.;100;8 x 5.5 x 0.35cm;n/a;Hors Ecriture;Frais de port inclus, frais techniques inclus et frais de marquage inclus;En couleur;79.3 x 54mm;29,5;30,5;; € -   ; € 0,81 ; € 1,62 ; € 0,79 ; € 1,58 ; € 0,73 ; € 1,46 ; € 0,70 ; € 1,40 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=757;Instrument d'Ecriture - Plastique;Nouveau;;;PAP;PAP-1;Arctic Frost ;IRL;Un corps translucide dépolie avec grip confort coloré, accents chromés et une attache design. Action par clic. Personnalisable avec marquage inclus06/06/2014;250;13cm;Rouge;Stylo Bille - Ecriture Noire;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Sérigraphie;40.6 x 5.5mm;10,5;11,5;; € -   ;; € -   ; € 0,46 ; € 0,92 ; € 0,42 ; € 0,84 ; € 0,40 ; € 0,80 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=757;Instrument d'Ecriture - Plastique;Nouveau;;;PAP;PAP-2;Arctic Frost ;IRL;Un corps translucide dépolie avec grip confort coloré, accents chromés et une attache design. Action par clic. Personnalisable avec marquage inclus06/06/2015;250;13cm;Noir;Stylo Bille - Ecriture Noire;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Sérigraphie;40.6 x 5.5mm;10,5;11,5;; € -   ;; € -   ; € 0,46 ; € 0,92 ; € 0,42 ; € 0,84 ; € 0,40 ; € 0,80 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=757;Instrument d'Ecriture - Plastique;Nouveau;;;PAP;PAP-3;Arctic Frost ;IRL;Un corps translucide dépolie avec grip confort coloré, accents chromés et une attache design. Action par clic. Personnalisable avec marquage inclus06/06/2016;250;13cm;Bleu;Stylo Bille - Ecriture Noire;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Sérigraphie;40.6 x 5.5mm;10,5;11,5;; € -   ;; € -   ; € 0,46 ; € 0,92 ; € 0,42 ; € 0,84 ; € 0,40 ; € 0,80 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=757;Instrument d'Ecriture - Plastique;Nouveau;;;PAP;PAP-4;Arctic Frost ;IRL;Un corps translucide dépolie avec grip confort coloré, accents chromés et une attache design. Action par clic. Personnalisable avec marquage inclus06/06/2017;250;13cm;Violet;Stylo Bille - Ecriture Noire;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Sérigraphie;40.6 x 5.5mm;10,5;11,5;; € -   ;; € -   ; € 0,46 ; € 0,92 ; € 0,42 ; € 0,84 ; € 0,40 ; € 0,80 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=781;Articles en Papier;;;;7045I / 7072I;7045I- 7072I-1;Bloc notes (NBF) et stylo (PSD) avec étui;IRL;Bloc-notes spiral avec le stylo Deluxe Serpent dans un étui transparent à fermeture par clic et sangle en corde noire. Personnalisable avec marquage inclus.;100;Taille du bloc-notes : 12.5 x 7.5cm;n/a;Stylo Bille - Encre Noire ou Bleue;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Bloc notes et stylo en couleur;74.3 x 117.2mm;;;; € -   ; € 1,98 ; € 3,96 ; € 1,95 ; € 3,90 ; € 1,94 ; € 3,88 ; € 1,87 ; € 3,74 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=782;Articles en Papier;;;Oui;7047i;7047i-1;Bloc notes (NBS) et stylo (CTR) avec étui;IRL;Bloc-notes spiral avec le stylo Contour Pen dans un étui transparent avec sangle en corde blanche. Personnalisable avec marquage inclus.;100;Taille du bloc-notes : 15.1 x 10.2 x 0.5cm;n/a;Stylo Bille - Encre Noire ou Bleue;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Bloc notes et stylo en couleur;91.5 x 153.7mm;;;; € -   ; € 2,58 ; € 5,16 ; € 2,55 ; € 5,10 ; € 2,54 ; € 5,08 ; € 2,45 ; € 4,90 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=779;Articles en Papier;Nouveau;;Oui;11764A;11764A-1;Bloc notes deluxe de taille grande /stylo PHC;IRL;Bloc-notes personnalisable avec marquage inclus.à couverture rigide de forme courbé avec 50 feuilles de papier à 80g. La couverture arrière est plus large pour maintenir en place le stylo Dimple Grip avec une élastique. Emballé dans un étui transparent avec fermeture et poignée.  *Disponible avec ou sans l’étui*;50;Bloc-notes : 17.5 x 13.8cm;n/a;Hors Ecriture;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Bloc-notes et stylo en couleur;65 x 104mm;188.0 (avec étui);188.0 (avec étui); € 2,59 ; € 5,18 ; € 2,35 ; € 4,70 ; € 2,23 ; € 4,46 ; € 2,07 ; € 4,14 ; € 2,00 ; € 4,00 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=780;Articles en Papier;Nouveau;;;11765A;11765A-1;Bloc notes deluxe de taille moyenne /stylo PHC;IRL;Bloc-notes rigide, personnalisable avec marquage inclus, avec 50 feuilles de papier à 80g. La couverture plus large permet de maintenir en place le stylo Dimple Grip à l’aide d’une élastique. Livré avec un étui avec fermeture par clic et une poignée *Disponible avec ou sans l’étui en plastique*;50;;n/a;Hors Ecriture;Frais de port inclus, frais techniques inclus et frais de marquage inclus;Bloc-notes et stylo en couleur;15 x 93mm;143.0 (avec étui);143.0 (avec étui); € 2,22 ; € 4,44 ; € 2,08 ; € 4,16 ; € 1,97 ; € 3,94 ; € 1,83 ; € 3,66 ; € 1,77 ; € 3,54 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=783;Articles en Papier;Nouveau;;;NCE;NCE-1;Bloc notes en couleur;IRL;Large zone d'impression sur la couverture. Contient une variété de post-its (50 feuilles) et des marque-pages fluos. Couleurs: Bleu, Vert, Jaune, Rose fluo et orange. Personnalisable avec marquage inclus.;100;7.5 x 10cm;n/a;Hors Ecriture;Frais de port inclus, frais techniques inclus et frais de marquage inclus;En couleur;100.5 x 74.5mm;;;; € -   ; € 1,21 ; € 2,42 ; € 1,14 ; € 2,28 ; € 1,05 ; € 2,10 ; € 1,01 ; € 2,02 
http://french.goldstar-europe.com/UI/ProductDetails.aspx?pid=758;Articles en Papier;;;;PNP;PNP-1;Bloc notes en couleur en coffret avec stylo;IRL;Ce bloc de notes blanc est protégé par une couverture en plastique solide. Personnalisable avec marquage inclus. Livré avec un stylo bille à action par clic. Zone d’impression large sur la couverture.;100;10.5 x 8cm;En couleur;Hors Ecriture;Frais de port inclus, frais techniques inclus et frais de marquage inclus;En couleur;65 x 104mm;71,3;72,3;; € -   ; € 1,13 ; € 2,26 ; € 1,06 ; € 2,12 ; € 0,98 ; € 1,96 ; € 0,94 ; € 1,88 
